County_Name,Source_Name,Component_Source_Name,Type_Desc,HPSA_Score
Lubbock,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER,Federally Qualified Health Center,22
Lubbock,"Community Health Center Of Lubbock, Inc., The","Community Health Center Of Lubbock, Inc., The",Federally Qualified Health Center,22
Dallas,"Healing Hands Ministries, Inc","Healing Hands Ministries, Inc",Federally Qualified Health Center,21
Denton,"Health Services of North Texas , Inc.","Health Services of North Texas , Inc.",Federally Qualified Health Center,21
Dallas,Dallas County Hospital District,Dallas County Hospital District,Federally Qualified Health Center,21
Dallas,MISSION EAST DALLAS AND METROPLEX PROJECT,MISSION EAST DALLAS AND METROPLEX PROJECT,Federally Qualified Health Center,21
Brazoria,"Stephen F. Austin Community Health Center, Inc.","Stephen F. Austin Community Health Center, Inc.",Federally Qualified Health Center,21
Harris,"Houston Area Community Services, Inc.","Houston Area Community Services, Inc.",Federally Qualified Health Center,21
Harris,"Asian American Health Coalition Of the Greater Houston Area, Inc.","Asian American Health Coalition Of the Greater Houston Area, Inc.",Federally Qualified Health Center,21
Tarrant,North Texas Area Community Health Centers Inc,North Texas Area Community Health Centers Inc,Federally Qualified Health Center,21
Harris,SPRING BRANCH COMMUNITY HEALTH CENTER,SPRING BRANCH COMMUNITY HEALTH CENTER,Federally Qualified Health Center,21
Dallas,"Los Barrios Unidos Community Clinic, Inc.","Los Barrios Unidos Community Clinic, Inc.",Federally Qualified Health Center,21
Harris,"Houston Community Health Centers, Inc.","Houston Community Health Centers, Inc.",Federally Qualified Health Center,21
Harris,"Legacy Community Health Services, Inc.","Legacy Community Health Services, Inc.",Federally Qualified Health Center,21
Harris,Health Care for the Homeless-Houston,Health Care for the Homeless-Houston,Federally Qualified Health Center,21
Harris,"PASADENA HEALTH CENTER, INC.","PASADENA HEALTH CENTER, INC.",Federally Qualified Health Center,21
El Paso,PROJECT VIDA HEALTH CENTER,PROJECT VIDA HEALTH CENTER,Federally Qualified Health Center,21
Harris,EL CENTRO DEL CORAZON,EL CENTRO DEL CORAZON,Federally Qualified Health Center,21
Montgomery,"LONE STAR COMMUNITY HEALTH CENTER, INC","LONE STAR COMMUNITY HEALTH CENTER, INC",Federally Qualified Health Center,21
Harris,BEE BUSY WELLNESS CENTER,BEE BUSY WELLNESS CENTER,Federally Qualified Health Center,21
El Paso,Centro San Vicente,Centro San Vicente,Federally Qualified Health Center,21
Bexar,El Centro Del Barrio,El Centro Del Barrio,Federally Qualified Health Center,21
Bexar,"BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.","BARRIO COMPREHENSIVE FAMILY HEALTH CARE CENTER, INC.",Federally Qualified Health Center,21
Harris,Harris Health System,Harris Health System,Federally Qualified Health Center,21
Brazos,"Brazos Valley Community Action Agency, Inc.","Brazos Valley Community Action Agency, Inc.",Federally Qualified Health Center,21
Dallas,Martin Luther King Jr Family Clinic Inc,Martin Luther King Jr Family Clinic Inc,Federally Qualified Health Center,21
Hunt,"Community Health Service Agency, Inc. Of Hunt County, The","Community Health Service Agency, Inc. Of Hunt County, The",Federally Qualified Health Center,21
Galveston,COASTAL HEALTH & WELLNESS,COASTAL HEALTH & WELLNESS,Federally Qualified Health Center,21
El Paso,"CENTRO DE SALUD FAMILIAR LA FE, INC","CENTRO DE SALUD FAMILIAR LA FE, INC",Federally Qualified Health Center,21
Houston,CF-Eastham Unit,CF-Eastham Unit,Correctional Facility,21
Frio,Immigration Customs Enforcement-S Texas/Pearsall,Immigration Customs Enforcement-S Texas/Pearsall,Correctional Facility,21
Dickens,Dickens County,Dickens,High Needs Geographic HPSA,21
Zapata,PEDIATRIC PRACTICE ASSOCIATION,PEDIATRIC PRACTICE ASSOCIATION,Rural Health Clinic,20
Jefferson,"Triangle Area Network, Inc.","Triangle Area Network, Inc.",Federally Qualified Health Center,20
Harris,SAINT HOPE FOUNDATION,SAINT HOPE FOUNDATION,Federally Qualified Health Center,20
Jefferson,"Gulf Coast Health Center, Inc.","Gulf Coast Health Center, Inc.",Federally Qualified Health Center,20
Hudspeth,Culberson and Hudspeth Counties,9503,Geographic HPSA,20
Culberson,Culberson and Hudspeth Counties,9503,Geographic HPSA,20
Jefferson,LI-Jefferson County,Jefferson,HPSA Population,20
Culberson,VAN HORN RHC,VAN HORN RHC,Rural Health Clinic,19
Travis,PEOPLE'S COMMUNITY CLINIC,PEOPLE'S COMMUNITY CLINIC,Federally Qualified Health Center,19
Travis,TRAVIS COUNTY HEALTHCARE DISTRICT,TRAVIS COUNTY HEALTHCARE DISTRICT,Federally Qualified Health Center,19
Fayette,TEJAS HEALTH CARE,TEJAS HEALTH CARE,Federally Qualified Health Center,19
Ellis,ELLIS COUNTY COALITION FOR HEALTH OPTIONS,ELLIS COUNTY COALITION FOR HEALTH OPTIONS,Federally Qualified Health Center,19
Shelby,Health Opportunities For The People Of East Texas Inc,Health Opportunities For The People Of East Texas Inc,Federally Qualified Health Center,19
Midland,Midland Community Healthcare Services,Midland Community Healthcare Services,Federally Qualified Health Center,19
Harrison,East Texas Border Health Clinic,East Texas Border Health Clinic,Federally Qualified Health Center,19
Presidio,Presidio County Health Services Inc,Presidio County Health Services Inc,Federally Qualified Health Center,19
Concho,FRONTERA HEALTHCARE NETWORK,FRONTERA HEALTHCARE NETWORK,Federally Qualified Health Center,19
Liberty,Health Center Of Southeast Texas,Health Center Of Southeast Texas,Federally Qualified Health Center,19
Williamson,Lone Star Circle Of Care,Lone Star Circle Of Care,Federally Qualified Health Center,19
Jim Wells,Community Action Corporation Of South Texas,Community Action Corporation Of South Texas,Federally Qualified Health Center,19
Cameron,Brownsville Community Health Clinic Corporation,Brownsville Community Health Clinic Corporation,Federally Qualified Health Center,19
McLennan,"HEART OF TEXAS COMMUNITY HEALTH CENTER, INC.","HEART OF TEXAS COMMUNITY HEALTH CENTER, INC.",Federally Qualified Health Center,19
La Salle,"South Texas Rural Health Services, Inc","South Texas Rural Health Services, Inc",Federally Qualified Health Center,19
Webb,GATEWAY COMMUNITY HEALTH CENTER INC,GATEWAY COMMUNITY HEALTH CENTER INC,Federally Qualified Health Center,19
Nacogdoches,"East Texas Community Health Services, Inc.","East Texas Community Health Services, Inc.",Federally Qualified Health Center,19
Hockley,SOUTH PLAINS RURAL HEALTH SERVICES INC,SOUTH PLAINS RURAL HEALTH SERVICES INC,Federally Qualified Health Center,19
Hale,"Regence Health Network, Inc.","Regence Health Network, Inc.",Federally Qualified Health Center,19
Maverick,United Medical Centers,United Medical Centers,Federally Qualified Health Center,19
Fort Bend,"Fort Bend Family Health Center, Inc.","Fort Bend Family Health Center, Inc.",Federally Qualified Health Center,19
Dallas,Urban Inter-Tribal Center of Texas,Urban Inter-Tribal Center of Texas,"Indian, Tribal and Urban Indian Organizations",19
Ector,MEDICAL CENTER HOSPITAL (INC),MEDICAL CENTER HOSPITAL (INC),Federally Qualified Health Center Look A Like,19
Limestone,LI-Limestone County,Limestone,HPSA Population,19
Duval,Duval County,Duval,High Needs Geographic HPSA,19
Jim Hogg,Jim Hogg County,Jim Hogg,High Needs Geographic HPSA,19
Mason,Mason County,Mason,Geographic HPSA,19
El Paso,YSLETA DEL SUR HEALTH STATION,YSLETA DEL SUR HEALTH STATION,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",18
Lynn,LYNN COUNTY HOSPITAL DISTRIC FAMILY WELLNESS RURAL,LYNN COUNTY HOSPITAL DISTRIC FAMILY WELLNESS RURAL,Rural Health Clinic,18
El Paso,UNIVERSITY MEDICAL CENTER-FABENS,UNIVERSITY MEDICAL CENTER-FABENS,Rural Health Clinic,18
Starr,FAMILY HEALTH CENTER L L P,FAMILY HEALTH CENTER L L P,Rural Health Clinic,18
Starr,FAMILY MEDICAL & SPECIALTY CLINIC,FAMILY MEDICAL & SPECIALTY CLINIC,Rural Health Clinic,18
Sabine,TOLEDO BEND FAMILY MEDICINE,TOLEDO BEND FAMILY MEDICINE,Rural Health Clinic,18
Sabine,SABINE FAMILY MEDICAL CENTER,SABINE FAMILY MEDICAL CENTER,Rural Health Clinic,18
Starr,STARR COUNTY MEMORIAL HOSPITAL RURAL HEALTH CLINIC,STARR COUNTY MEMORIAL HOSPITAL RURAL HEALTH CLINIC,Rural Health Clinic,18
Chambers,CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT #1,CHAMBERS COUNTY PUBLIC HOSPITAL DISTRICT #1,Federally Qualified Health Center,18
Comanche,"Cross Timbers Health Clinics, Inc.","Cross Timbers Health Clinics, Inc.",Federally Qualified Health Center,18
Bastrop,FCI-Bastrop,FCI-Bastrop,Correctional Facility,18
Freestone,Low Income - Freestone County,Freestone,HPSA Population,18
Nacogdoches,Low Income - Nacogdoches,Nacogdoches,HPSA Population,18
Houston,Houston County,Houston,High Needs Geographic HPSA,18
San Jacinto,San Jacinto County,San Jacinto,High Needs Geographic HPSA,18
Zapata,Zapata County,Zapata,High Needs Geographic HPSA,18
Dallas,URBAN INTER-TRIBAL CENTER OF TX,URBAN INTER-TRIBAL CENTER OF TX,"Indian Health Service, Tribal Health, and Urban Indian Health Organizations",17
Caldwell,SETON LOCKHART FAMILY HEALTH CENTER,SETON LOCKHART FAMILY HEALTH CENTER,Rural Health Clinic,17
Kent,STONEWALL MEMORIAL HOSPITAL,STONEWALL MEMORIAL HOSPITAL,Rural Health Clinic,17
Cherokee,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,Rural Health Clinic,17
Calhoun,MEMORIAL MEDICAL CLINIC,MEMORIAL MEDICAL CLINIC,Rural Health Clinic,17
Starr,PEDIATRIC PRACTICE ASSOCIATION - ROMA,PEDIATRIC PRACTICE ASSOCIATION - ROMA,Rural Health Clinic,17
Trinity,GROVETON FAMILY MEDICAL CLINIC,GROVETON FAMILY MEDICAL CLINIC,Rural Health Clinic,17
Starr,PEDIATRIC PRACTICE ASSOCIATION - RIO GRANDE CITY,PEDIATRIC PRACTICE ASSOCIATION - RIO GRANDE CITY,Rural Health Clinic,17
Calhoun,PORT LAVACA CLINIC ASSOCIATES,PORT LAVACA CLINIC ASSOCIATES,Rural Health Clinic,17
Limestone,FAMILY MEDICINE CENTER,FAMILY MEDICINE CENTER,Rural Health Clinic,17
Limestone,PARKVIEW REGIONAL HEALTH CLINI,PARKVIEW REGIONAL HEALTH CLINI,Rural Health Clinic,17
Wood,UT HEALTH EAST TEXAS QUITMAN HOSPITAL,UT HEALTH EAST TEXAS QUITMAN HOSPITAL,Rural Health Clinic,17
Starr,ROMA FAMILY HEALTH CLINIC,ROMA FAMILY HEALTH CLINIC,Rural Health Clinic,17
Caldwell,SEBD CHILDREN'S CARE-A-VAN,SEBD CHILDREN'S CARE-A-VAN,Rural Health Clinic,17
Pecos,FAMILY CARE CENTER WALK IN CLINIC,FAMILY CARE CENTER WALK IN CLINIC,Rural Health Clinic,17
Armstrong,CLAUDE FAMILY MEDICAL CLINIC LLC,CLAUDE FAMILY MEDICAL CLINIC LLC,Rural Health Clinic,17
Jasper,CHRISTUS FAMILY PRACTICE CENTER JASPER,CHRISTUS FAMILY PRACTICE CENTER JASPER,Rural Health Clinic,17
Jasper,CHRISTUS FAMILY PRACTICE CENTER - KIRBYVILLE,CHRISTUS FAMILY PRACTICE CENTER - KIRBYVILLE,Rural Health Clinic,17
Jasper,COMPLETE HEALTHCARE SERVICES RHC-RAYBURN,COMPLETE HEALTHCARE SERVICES RHC-RAYBURN,Rural Health Clinic,17
Pecos,FAMILY CARE CENTER,FAMILY CARE CENTER,Rural Health Clinic,17
Bailey,MULESHOE FAMILY CLINIC,MULESHOE FAMILY CLINIC,Rural Health Clinic,17
Bailey,MEDICAL CLINIC OF MULESHOE,MEDICAL CLINIC OF MULESHOE,Rural Health Clinic,17
Hamilton,FAMILY PRACTICE RURAL HEALTH C,FAMILY PRACTICE RURAL HEALTH C,Rural Health Clinic,17
Lamb,LHC FAMILY MEDICINE,LHC FAMILY MEDICINE,Rural Health Clinic,17
Walker,HUNTSVILLE MEMORIAL HOSPITAL,HUNTSVILLE MEMORIAL HOSPITAL,Rural Health Clinic,17
Rusk,Mount Enterprise Community Health Clinic,Mount Enterprise Community Health Clinic,Federally Qualified Health Center,17
Hidalgo,Nuestra Clinica Del Valle,Nuestra Clinica Del Valle,Federally Qualified Health Center,17
Zavala,VIDAYSALUD HEALTH SYSTEM INC,VIDAYSALUD HEALTH SYSTEM INC,Federally Qualified Health Center,17
Gregg,"LONGVIEW WELLNESS CENTER, INC.","LONGVIEW WELLNESS CENTER, INC.",Federally Qualified Health Center,17
Shackelford,Shackelford County Community Resource Center,Shackelford County Community Resource Center,Federally Qualified Health Center,17
Atascosa,"Atascosa Health Center, Inc.","Atascosa Health Center, Inc.",Federally Qualified Health Center,17
El Paso,Ysleta Del Sur Pueblo,Ysleta Del Sur Pueblo,"Indian, Tribal and Urban Indian Organizations",17
Harris,SOUTH CNTRL HOU COMM,SOUTH CNTRL HOU COMM,Federally Qualified Health Center Look A Like,17
Randall,LI-South Randall County,218.01,HPSA Population,17
Randall,LI-South Randall County,218.02,HPSA Population,17
Randall,LI-South Randall County,219,HPSA Population,17
Brazoria,Sweeny West Columbia SA,6645.01,Geographic HPSA,17
Brazoria,Sweeny West Columbia SA,6620,Geographic HPSA,17
Brazoria,Sweeny West Columbia SA,6626,Geographic HPSA,17
Brazoria,Sweeny West Columbia SA,6628,Geographic HPSA,17
Brazoria,Sweeny West Columbia SA,6627,Geographic HPSA,17
Brazoria,Sweeny West Columbia SA,6630,Geographic HPSA,17
Brazoria,Sweeny West Columbia SA,6629,Geographic HPSA,17
McCulloch,LI-McCulloch County,McCulloch,HPSA Population,17
Matagorda,LI-Matagorda County,Matagorda,HPSA Population,17
Hopkins,LI - Hopkins County,Hopkins,HPSA Population,17
Camp,LI - Camp County,Camp,HPSA Population,17
Hays,Low Income - Hays County,Hays,HPSA Population,17
Polk,LI - Polk County,Polk,HPSA Population,17
Grimes,LI-Grimes County,Grimes,HPSA Population,17
Cherokee,LI - Cherokee County,Cherokee,HPSA Population,17
Real,Real County,Real,High Needs Geographic HPSA,17
Kinney,Kinney County,Kinney,High Needs Geographic HPSA,17
Shelby,Shelby County,Shelby,High Needs Geographic HPSA,17
La Salle,La Salle County,La Salle,High Needs Geographic HPSA,17
Frio,Frio County,Frio,Geographic HPSA,17
Hutchinson,Hutchinson County,Hutchinson,Geographic HPSA,17
Garza,Garza County,Garza,Geographic HPSA,17
Donley,Donley County,Donley,Geographic HPSA,17
Deaf Smith,Deaf Smith County,Deaf Smith,Geographic HPSA,17
Cochran,Cochran County,Cochran,Geographic HPSA,17
Hill,LAKE WHITNEY MEDICAL CLINIC,LAKE WHITNEY MEDICAL CLINIC,Rural Health Clinic,16
Donley,CLARENDON FAMILY MEDICAL CENTER,CLARENDON FAMILY MEDICAL CENTER,Rural Health Clinic,16
Runnels,BALLINGER HOSPITAL CLINIC,BALLINGER HOSPITAL CLINIC,Rural Health Clinic,16
Dimmit,CHILDRENS CLINIC OF DIMMIT AND,CHILDRENS CLINIC OF DIMMIT AND,Rural Health Clinic,16
Schleicher,SCHLEICHER COUNTY FAMILY CLINIC,SCHLEICHER COUNTY FAMILY CLINIC,Rural Health Clinic,16
Stephens,BRECKENRIDGE MEDICAL CENTER,BRECKENRIDGE MEDICAL CENTER,Rural Health Clinic,16
Cooke,COOKE COUNTY MEDICAL CENTER,COOKE COUNTY MEDICAL CENTER,Rural Health Clinic,16
Zavala,EDUARDO MORENO M D RHC,EDUARDO MORENO M D RHC,Rural Health Clinic,16
Dawson,MEDICAL ARTS  CLINIC,MEDICAL ARTS  CLINIC,Rural Health Clinic,16
Andrews,ANDREWS FAMILY MEDICINE,ANDREWS FAMILY MEDICINE,Rural Health Clinic,16
Brown,LI-Brown County,Brown,HPSA Population,16
Wharton,LI-Wharton County,Wharton,HPSA Population,16
Floyd,LI - Floyd County,Floyd,HPSA Population,16
Colorado,Low Income - Colorado County,Colorado,HPSA Population,16
Terry,Low Income - Terry County,Terry,HPSA Population,16
McLennan,LI-McLennan,McLennan,HPSA Population,16
Erath,LI-Erath County,Erath,HPSA Population,16
Young,Low Income - Young County,Young,HPSA Population,16
Brooks,Brooks County,Brooks,High Needs Geographic HPSA,16
Sabine,Sabine County,Sabine,High Needs Geographic HPSA,16
Delta,Delta County,Delta,High Needs Geographic HPSA,16
Falls,Falls County,Falls,High Needs Geographic HPSA,16
Schleicher,Schleicher County,Schleicher,Geographic HPSA,16
Parmer,Parmer County,Parmer,Geographic HPSA,16
Live Oak,Live Oak County,Live Oak,Geographic HPSA,16
Upton,Upton County,Upton,Geographic HPSA,16
Tyler,Tyler County,Tyler,Geographic HPSA,16
Bandera,Bandera County,Bandera,Geographic HPSA,16
Hardin,Hardin County,Hardin,Geographic HPSA,16
Parmer,FRIONA RHC,FRIONA RHC,Rural Health Clinic,15
Cherokee,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,UT HEALTH EAST TEXAS JACKSONVILLE HOSPITAL,Rural Health Clinic,15
San Patricio,TAFT HEALTH CENTER,TAFT HEALTH CENTER,Rural Health Clinic,15
Jones,STAMFORD FAMILY HEALTH CENTER,STAMFORD FAMILY HEALTH CENTER,Rural Health Clinic,15
Reeves,PECOS VALLEY RURAL HEALTH CLIN,PECOS VALLEY RURAL HEALTH CLIN,Rural Health Clinic,15
Ward,SANDHILLS FAMILY CLINIC,SANDHILLS FAMILY CLINIC,Rural Health Clinic,15
Bee,JJP FAMILY PRACTICE LLC,JJP FAMILY PRACTICE LLC,Rural Health Clinic,15
Bee,CHRISTUS SPOHN HOSPITAL MEDICAL CLINIC-BEEVILLE,CHRISTUS SPOHN HOSPITAL MEDICAL CLINIC-BEEVILLE,Rural Health Clinic,15
Jones,ANSON FAMILY WELLNESS CLINIC,ANSON FAMILY WELLNESS CLINIC,Rural Health Clinic,15
Crane,CRANE COUNTY RURAL HEALTH CLINIC,CRANE COUNTY RURAL HEALTH CLINIC,Rural Health Clinic,15
Kimble,JUNCTION MEDICAL CLINIC,JUNCTION MEDICAL CLINIC,Rural Health Clinic,15
Rusk,UT HEALTH EAST TEXAS HENDERSON HOSPITAL,UT HEALTH EAST TEXAS HENDERSON HOSPITAL,Rural Health Clinic,15
Hockley,LEVELLAND CLINIC NORTH,LEVELLAND CLINIC NORTH,Rural Health Clinic,15
Hockley,LEVELLAND CLINIC,LEVELLAND CLINIC,Rural Health Clinic,15
Hockley,FAMILY MEDICINE OF LEVELLAND,FAMILY MEDICINE OF LEVELLAND,Rural Health Clinic,15
Panola,UT EAST TEXAS CARTHAGE HOSPITAL,UT EAST TEXAS CARTHAGE HOSPITAL,Rural Health Clinic,15
Lamb,OLTON RURAL HEALTH CLINIC,OLTON RURAL HEALTH CLINIC,Rural Health Clinic,15
Panola,UT HEALTH TEXAS CARTHAGE HOSPITAL,UT HEALTH TEXAS CARTHAGE HOSPITAL,Rural Health Clinic,15
Winkler,WINKLER COUNTY RURAL HEALTH CLINIC,WINKLER COUNTY RURAL HEALTH CLINIC,Rural Health Clinic,15
Matagorda,Matagorda Episcopal Health Outreach Program Corporation,Matagorda Episcopal Health Outreach Program Corporation,Federally Qualified Health Center,15
Cameron,Su Clinica Familiar,Su Clinica Familiar,Federally Qualified Health Center,15
Wichita,NORTH CENTRAL TEXAS COMMUNITY HEALTH CARE CENTER,NORTH CENTRAL TEXAS COMMUNITY HEALTH CARE CENTER,Federally Qualified Health Center,15
Uvalde,COMMUNITY HEALTH DEVELOPMENT INC,COMMUNITY HEALTH DEVELOPMENT INC,Federally Qualified Health Center,15
Dallas,OFAC-Parkland Center for Internal Medicine (PCIM),OFAC-Parkland Center for Internal Medicine (PCIM),Other Facility,15
Frio,CF-Briscoe Unit,CF-Briscoe Unit,Correctional Facility,15
Hidalgo,LI-South East Hidalgo County,225.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,226,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,227.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,221.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,221.06,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,222.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,225.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,224.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,224.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,222.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,223,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,218.06,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,219.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,219.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,219.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,221.05,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,220.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,220.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,220.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,221.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,218.05,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,217.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,218.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,216,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,222.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,218.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,213.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,214.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,214.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,213.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,215,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,214.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,243.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,244.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,244.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,244.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,245,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,246,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,238.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,238.01,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,235.15,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,236,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,237,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,235.13,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,235.14,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,235.11,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,235.12,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,231.04,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,231.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,231.03,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,235.07,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,227.02,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,228,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,229,HPSA Population,15
Hidalgo,LI-South East Hidalgo County,230,HPSA Population,15
Webb,South Laredo,18.07,High Needs Geographic HPSA,15
Webb,South Laredo,18.06,High Needs Geographic HPSA,15
Webb,South Laredo,18.09,High Needs Geographic HPSA,15
Webb,South Laredo,18.08,High Needs Geographic HPSA,15
Webb,South Laredo,19,High Needs Geographic HPSA,15
Webb,South Laredo,15.02,High Needs Geographic HPSA,15
Webb,South Laredo,14.02,High Needs Geographic HPSA,15
Webb,South Laredo,15.01,High Needs Geographic HPSA,15
Webb,South Laredo,10.03,High Needs Geographic HPSA,15
Webb,South Laredo,11.01,High Needs Geographic HPSA,15
Webb,South Laredo,10.04,High Needs Geographic HPSA,15
Webb,South Laredo,10.01,High Needs Geographic HPSA,15
Webb,South Laredo,9.04,High Needs Geographic HPSA,15
Webb,South Laredo,9.03,High Needs Geographic HPSA,15
Webb,South Laredo,14.01,High Needs Geographic HPSA,15
Webb,South Laredo,13,High Needs Geographic HPSA,15
Webb,South Laredo,12.02,High Needs Geographic HPSA,15
Webb,South Laredo,11.04,High Needs Geographic HPSA,15
Webb,South Laredo,12.01,High Needs Geographic HPSA,15
Webb,South Laredo,11.05,High Needs Geographic HPSA,15
Webb,South Laredo,1.01,High Needs Geographic HPSA,15
Webb,South Laredo,1.06,High Needs Geographic HPSA,15
Webb,South Laredo,11.03,High Needs Geographic HPSA,15
Webb,South Laredo,9.01,High Needs Geographic HPSA,15
Webb,South Laredo,7,High Needs Geographic HPSA,15
Webb,South Laredo,8,High Needs Geographic HPSA,15
Webb,South Laredo,6.02,High Needs Geographic HPSA,15
Webb,South Laredo,3,High Needs Geographic HPSA,15
Webb,South Laredo,6.01,High Needs Geographic HPSA,15
Webb,South Laredo,2,High Needs Geographic HPSA,15
Webb,South Laredo,1.09,High Needs Geographic HPSA,15
Webb,South Laredo,1.08,High Needs Geographic HPSA,15
Webb,South Laredo,1.07,High Needs Geographic HPSA,15
Webb,South Laredo,1.05,High Needs Geographic HPSA,15
Lubbock,East Lubbock County,21.02,Geographic HPSA,15
Lubbock,East Lubbock County,6.05,Geographic HPSA,15
Lubbock,East Lubbock County,6.07,Geographic HPSA,15
Lubbock,East Lubbock County,101.02,Geographic HPSA,15
Lubbock,East Lubbock County,102,Geographic HPSA,15
Lubbock,East Lubbock County,25,Geographic HPSA,15
Lubbock,East Lubbock County,101.01,Geographic HPSA,15
Lubbock,East Lubbock County,9800,Geographic HPSA,15
Lubbock,East Lubbock County,107,Geographic HPSA,15
Lubbock,East Lubbock County,106,Geographic HPSA,15
Lubbock,East Lubbock County,105.1,Geographic HPSA,15
Lubbock,East Lubbock County,105.11,Geographic HPSA,15
Lubbock,East Lubbock County,105.05,Geographic HPSA,15
Lubbock,East Lubbock County,105.06,Geographic HPSA,15
Lubbock,East Lubbock County,105.08,Geographic HPSA,15
Lubbock,East Lubbock County,22.02,Geographic HPSA,15
Lubbock,East Lubbock County,23,Geographic HPSA,15
Lubbock,East Lubbock County,15.02,Geographic HPSA,15
Lubbock,East Lubbock County,16.02,Geographic HPSA,15
Lubbock,East Lubbock County,9,Geographic HPSA,15
Lubbock,East Lubbock County,22.03,Geographic HPSA,15
Lubbock,East Lubbock County,12,Geographic HPSA,15
Lubbock,East Lubbock County,10,Geographic HPSA,15
Lubbock,East Lubbock County,24,Geographic HPSA,15
Lubbock,East Lubbock County,105.04,Geographic HPSA,15
Lubbock,East Lubbock County,14,Geographic HPSA,15
Lubbock,East Lubbock County,2.01,Geographic HPSA,15
Lubbock,East Lubbock County,6.03,Geographic HPSA,15
Lubbock,East Lubbock County,7,Geographic HPSA,15
Lubbock,East Lubbock County,22.04,Geographic HPSA,15
Lubbock,East Lubbock County,1,Geographic HPSA,15
Lubbock,East Lubbock County,3.02,Geographic HPSA,15
Lubbock,East Lubbock County,5,Geographic HPSA,15
Lubbock,East Lubbock County,20.02,Geographic HPSA,15
Lubbock,East Lubbock County,21.01,Geographic HPSA,15
Lubbock,East Lubbock County,13,Geographic HPSA,15
Lubbock,East Lubbock County,3.01,Geographic HPSA,15
Lubbock,East Lubbock County,15.01,Geographic HPSA,15
Lubbock,East Lubbock County,19.01,Geographic HPSA,15
Lubbock,East Lubbock County,19.03,Geographic HPSA,15
Lubbock,East Lubbock County,2.02,Geographic HPSA,15
Lubbock,East Lubbock County,20.01,Geographic HPSA,15
