county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,pop_tertiles,rural_pop_quartiles,%_pop_youth_imputed,%_pop_youth_imputed_yes_no,imr_imputed,imr_imputed_yes_no,live_births_imputed,live_births_imputed_yes_no,pop_0_24mos,mmr_coverage_0_24_months,mmr_doses_<18yrs,mmr_coverage_<18yrs,#_pop_youth_imputed,mmr_dose_rate_0_24_months,mmr_dose_rate_<18yrs
Calhoun,7.2342519685,11.0,50.58867,29.0,24.0,,651,11.57744976,2720,12.5,23.870296008,60.29405,1659:1,52085,72.562068083,21561,48.620193869,44.731303494,2020,,,0.0,232.0,228.0,12.5,261.0,0.1065,0.1663,0.0699,0.86,Very High Vulnerability,0.88,Very High Concern,1659.0,1.0,medium,urban,23.690508852090353,1.0,6.019602497975,1.0,261.0,0.0,259.4288837480285,0.8942720511619325,472.5,0.0009250357646079891,510791.06135992013,89.42720511619325,0.0925035764607989
Callahan,11.263467189,1.0,7.17051,40.0,20.2,,360,10.895883777,2240,16.4,,57.16736,1749:1,50330,52.479174931,13994,50.478776619,72.179562906,2020,,,0.0,117.0,108.0,2.5,123.0,0.1278,0.1901,0.086,0.3,Low Vulnerability,0.8,High Concern,1749.0,1.0,medium,rural,23.690508852090353,1.0,6.019602497975,1.0,123.0,0.0,122.25958889274908,0.9569801523104826,227.5,0.0006862227980490769,331524.9808761524,95.69801523104826,0.06862227980490769
Cameron,8.1357393607,207.0,48.85244,42.0,40.2,5.0892108729,16938,12.753077589,47770,11.4,67.081450135,66.52387,1503:1,38106,87.033089872,423908,51.321277258,8.4208064596,2020,,,0.0,4505.0,5083.0,388.0,6019.0,0.105,0.1701,0.0683,0.98,Very High Vulnerability,0.98,Very High Concern,1503.0,1.0,large,very urban,23.690508852090353,1.0,5.0892108729,0.0,6019.0,0.0,5988.368039756015,0.75229177132933,9976.0,0.0009933686245100274,10042596.226471918,75.229177132933,0.09933686245100273
Camp,7.4581430746,11.0,85.56981999999999,35.0,30.5,,403,11.484753491,2320,18.3,21.808815883,15.34566,6517:1,43714,74.57337884,13033,51.43865572,61.478912991,2020,,,0.0,108.5,151.5,5.0,162.0,0.1285,0.1874,0.0874,0.9,Very High Vulnerability,0.98,Very High Concern,6517.0,1.0,medium,rural,23.690508852090353,1.0,6.019602497975,1.0,162.0,0.0,161.02482439532804,0.6738091496602061,265.0,0.0008582762392719671,308758.4018692936,67.38091496602061,0.08582762392719671
Carson,5.6265984655,,,44.0,12.2,,203,12.979539642,770,12.7,,116.56953,858:1,64799,32.747603834,6005,49.87510408,95.195729537,2020,,,0.0,33.5,60.5,0.0,38.0,0.1241,0.1883,0.0824,0.03,Very Low Vulnerability,0.6,High Concern,858.0,1.0,small,very rural,23.690508852090353,1.0,6.019602497975,1.0,38.0,0.0,37.77125510507695,0.8869178402148771,94.0,0.0006607549917738775,142261.50565680256,88.6917840214877,0.06607549917738775
Cass,7.810552555,8.0,26.656,35.0,32.0,,624,8.8888888889,6340,21.0,30.701785208,49.80245,2008:1,44154,62.828467153,30119,51.588698164,74.011948529,2020,,,0.0,161.5,208.0,10.0,317.0,0.1356,0.2056,0.0926,0.78,High Vulnerability,0.98,Very High Concern,2008.0,1.0,medium,rural,23.690508852090353,1.0,6.019602497975,1.0,317.0,0.0,315.0917860081419,0.5125490640236076,379.5,0.0005318594041034427,713534.4361161094,51.25490640236075,0.05318594041034427
Castro,6.9135802469,1.0,12.75022,35.0,24.2,,412,17.614365113,750,9.5,,39.13894,2555:1,45689,74.154025671,7665,48.532289628,45.757876457,2020,,,0.0,87.0,99.5,2.5,112.0,0.1241,0.1883,0.0824,0.78,High Vulnerability,0.99,Very High Concern,2555.0,1.0,small,urban,23.690508852090353,1.0,6.019602497975,1.0,112.0,0.0,111.3258045202268,0.7814899732810191,189.0,0.0010408191061037368,181587.75035127255,78.14899732810191,0.10408191061037368
Chambers,8.2658475286,4.0,9.65228,28.0,10.9,,1286,10.478285668,5950,15.1,24.700513178,54.176280000000006,1846:1,89513,36.772457104,42454,49.3451736,45.720310007,2020,,,0.0,631.0,557.0,23.5,552.0,0.1377,0.2028,0.0929,0.41,Moderate Vulnerability,0.79,High Concern,1846.0,1.0,large,urban,23.690508852090353,1.0,6.019602497975,1.0,552.0,0.0,548.6771794211178,1.1500387179684364,1211.5,0.001204565481779775,1005756.8628066438,115.00387179684364,0.1204565481779775
Cherokee,7.2273073989,21.0,40.19908,43.0,24.6,8.0521472393,1528,11.150029189,9110,17.7,34.805617504,43.73289,2287:1,43483,63.046594982,52592,48.999847886,63.048480677,2020,,,0.0,452.0,527.0,12.5,739.0,0.1282,0.1918,0.0871,0.92,Very High Vulnerability,0.94,Very High Concern,2287.0,1.0,large,rural,23.690508852090353,1.0,8.0521472393,0.0,739.0,0.0,733.0494631901573,0.6166023204395261,991.5,0.0007957903028157578,1245931.241549136,61.66023204395261,0.07957903028157579
Childress,9.8619329389,10.0,141.50276,23.0,25.4,,174,11.584553928,1280,18.1,16.197996918,109.72432,911:1,42291,54.398563734,7291,39.185296941,33.148700469,2020,,,0.0,45.5,45.5,0.0,58.0,0.1241,0.1883,0.0824,0.75,High Vulnerability,0.92,Very High Concern,911.0,1.0,small,urban,23.690508852090353,1.0,6.019602497975,1.0,58.0,0.0,57.65086305511745,0.7892336313595073,91.0,0.0005268414119269665,172727.50004059076,78.92336313595074,0.05268414119269665
