% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator,seg_missing_bool,OH__Low Vulnerability,OH__Moderate Vulnerability,OH__Very High Vulnerability,OH__Very Low Vulnerability,OH__Moderate Concern,OH__Very High Concern,OH__medium,OH__small
6.8965517241,1.0,34.51847,25.0,31.4,,156,20.526315789,540,19.0,,79.49126,42274,71.10799439,2516,49.682034976,100.0,2023,,,,0.903846153846154,0.9230769230769232,0.9230769230769232,0.903846153846154,0.9230769230769232,0.1143,0.1758,0.0766,0.86,0.99,1258.0,1.0,1,0,0,1,0,0,1,0,1
6.9387755102,,,51.0,22.4,,129,18.117977528,510,15.5,,0.0,46767,56.910569106,3321,51.099066546,100.0,2023,,,,0.9090909090909092,0.8787878787878788,0.8787878787878788,0.9090909090909092,0.9090909090909092,0.1235,0.1873,0.0822,0.62,0.91,3321.0,0.0,1,0,0,0,0,0,1,0,1
10.093457944,5.0,61.72839999999999,26.0,31.8,,204,12.049616066,1370,16.6,39.690527228,64.64124,42253,66.587490103,7735,49.437621202,51.545812254,2023,,,,0.891566265060241,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.9156626506024096,0.1278,0.1901,0.086,0.42,0.94,1547.0,1.0,0,0,1,0,0,0,1,0,1
7.4898187284,1050.0,97.94146,59.0,7.9,4.3124346118,23811,8.1150717239,109310,10.9,30.992999793,88.78177,102119,26.420675929,1109462,50.360805508,5.2427266371,2023,,,,0.9399698340874812,0.9349019607843138,0.947209653092006,0.9423227752639516,0.9350829562594268,0.083,0.1234,0.0542,0.15,0.49,1126.0,1.0,0,0,0,0,1,1,0,0,0
7.7981651376,1.0,34.75843,12.0,27.1,,173,22.496749025,450,15.4,,152.96367,45734,65.498154982,2615,51.510516252,100.0,2023,,,,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.9032258064516128,0.1241,0.1883,0.0824,0.89,0.98,654.0,1.0,1,0,0,1,0,0,1,0,1
8.5201793722,10.0,46.27487,43.0,21.8,,813,15.64665127,2390,11.2,15.797765604,38.77848,62004,62.854686156,20630,49.738245274,62.613777906,2023,,,,0.9771863117870724,0.9695817490494296,0.9809885931558936,0.973384030418251,0.9695817490494296,0.1114,0.1704,0.0738,0.68,0.93,2579.0,1.0,0,0,0,0,0,0,1,1,0
8.7528459398,11.0,25.011940000000003,44.0,19.4,5.6038105912,1460,14.218932606,5930,13.9,39.033710301,42.74326,60063,77.938767796,46791,49.141929003,42.292334367,2023,,,,0.966796875,0.96875,0.986328125,0.974609375,0.96484375,0.124,0.188,0.0827,0.87,0.97,2340.0,1.0,0,0,0,1,0,0,1,0,0
7.6377372397,108.0,65.52920999999999,48.0,9.6,5.9625982474,3699,9.5593745962,17960,12.1,45.822563984,86.29262,93487,34.783243855,174986,50.198873053,46.145549082,2023,,,,0.9276087793608008,0.934924913361571,0.9399306892568348,0.9306892568348094,0.9256834809395456,0.0937,0.1369,0.0619,0.24,0.64,1159.0,1.0,0,1,0,0,0,0,0,0,0
8.0683156655,1.0,7.05617,38.0,44.6,,663,14.447592068,3040,21.4,,35.95053,37474,87.980493402,13908,50.035950532,23.534027679,2023,,,,0.9658536585365852,0.975609756097561,0.9951219512195122,0.9804878048780488,0.9853658536585366,0.1146,0.1867,0.0742,0.99,1.0,2782.0,1.0,1,0,0,1,0,0,1,1,0
7.9545454545,1.0,35.37319,42.0,25.6,,89,16.920152091,420,13.8,,59.86232,48563,65.274725275,3341,45.794672254,100.0,2023,,,,0.9642857142857144,0.9285714285714286,0.9642857142857144,0.9285714285714286,0.9285714285714286,0.1235,0.1873,0.0822,0.43,0.96,1671.0,1.0,1,0,1,0,0,0,1,0,1
8.6995117621,13.0,16.94098,29.0,17.9,7.1075401731,1475,8.5161662818,11480,15.2,36.323802793,55.79827,59718,57.453682337,84232,50.010684775,19.423515679,2023,,,,0.9643835616438357,0.96986301369863,0.9753424657534246,0.9684931506849316,0.9643835616438357,0.1264,0.1929,0.0847,0.78,0.82,1792.0,1.0,0,0,0,0,0,0,1,0,0
,0.0,0.0,23.0,34.0,,45,14.657980456,320,19.5,,0.0,44590,66.120218579,1381,51.556842867,100.0,2023,,,,1.0,1.0,1.0,1.0,1.0,0.1293,0.1898,0.087,0.94,1.0,1381.0,0.0,1,0,0,1,0,0,1,0,1
8.9820359281,2.0,41.97272,14.0,17.9,,290,20.265548567,490,10.4,,21.36752,63555,54.959053685,4680,49.081196581,10.697142857,2023,,,,0.8636363636363636,0.9431818181818182,0.9545454545454546,0.8977272727272727,0.9318181818181818,0.1166,0.1765,0.0789,0.47,0.93,4680.0,1.0,1,0,1,0,0,0,1,0,1
9.1194968553,2.0,56.9314,18.0,22.0,,186,20.43956044,490,14.5,,32.59452,53159,53.141361257,3068,49.380704042,22.748050551,2023,,,,1.0,1.0,1.0,1.0,1.0,0.1235,0.1873,0.0822,0.69,0.9,3068.0,1.0,1,0,0,0,0,0,1,0,1
9.3808630394,2.0,35.92599,47.0,36.7,,202,14.03752606,910,15.8,20.604944832,58.75441,42728,81.048387097,5106,49.490795143,100.0,2023,,,,0.9838709677419356,0.9838709677419356,0.9838709677419356,0.9838709677419356,0.9838709677419356,0.1143,0.1758,0.0766,0.94,0.99,1702.0,1.0,0,0,0,1,0,0,1,0,1
7.5471698113,1.0,46.53327,18.0,29.9,,111,22.334004024,430,19.8,,91.19927,48217,81.65374677,2193,49.110807114,100.0,2023,,,,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.972972972972973,0.1166,0.1765,0.0789,1.0,1.0,1097.0,1.0,1,0,0,1,0,0,1,0,1
6.300630063,5.0,68.74742,30.0,16.4,,605,25.145469659,870,12.0,,153.37422999999998,70895,56.213017751,7172,47.113775795,23.541697747,2023,,,,0.9344262295081968,0.8852459016393442,0.9508196721311476,0.9344262295081968,0.9016393442622952,0.1241,0.1883,0.0824,0.55,0.92,652.0,1.0,1,0,1,0,0,0,1,0,1
8.5008850863,1879.0,71.28527,55.0,20.3,6.3617250733,80404,11.775681498,373560,14.2,51.732681667,137.93237,63549,73.393637195,2586050,50.418708068,0.6883041916,2023,,,,0.9365238285943132,0.9438182962412036,0.9620687682361692,0.9405572401167116,0.9323759940500028,0.1078,0.1697,0.0704,0.75,0.83,725.0,1.0,0,0,0,0,0,0,1,0,0
10.579937304,5.0,38.53862,32.0,27.8,,421,12.623688156,2330,18.1,18.853243491,48.33642,43627,72.663066057,12413,44.292274229,16.294368539,2023,,,,0.8368794326241135,0.8723404255319149,0.9078014184397164,0.8581560283687943,0.8581560283687943,0.1235,0.1873,0.0822,0.95,1.0,2069.0,1.0,0,0,0,1,0,0,1,1,0
8.3524870983,219.0,51.62903,44.0,32.6,5.0383674846,16733,13.312594973,75390,17.9,80.079373763,88.8828,46436,85.421696284,423029,50.809518969,8.4208064596,2023,,,,0.9878858929269244,0.9867135599843688,0.9910121141070732,0.9898397811645174,0.988081281750684,0.105,0.1701,0.0683,0.98,0.98,1125.0,1.0,0,0,0,1,0,0,1,0,0
11.451135242,2.0,14.17434,41.0,19.1,,373,12.036140691,1940,13.9,,63.76196,56708,49.699398798,14115,50.442791357,72.179562906,2023,,,,0.9239130434782608,0.9239130434782608,0.9239130434782608,0.9293478260869564,0.9130434782608696,0.1278,0.1901,0.086,0.3,0.8,1568.0,1.0,1,1,0,0,0,0,0,1,0
8.7076951725,287.0,77.58287,36.0,19.7,6.5978802555,8956,8.7289597567,53820,15.1,45.673583546,197.0407,58878,54.207645538,379617,50.026210628,15.186229794,2023,,,,0.9612030610428902,0.9647624132407902,0.9690336358782702,0.9635166399715251,0.9617369638725752,0.1244,0.1993,0.0815,0.81,0.83,508.0,1.0,0,0,0,1,0,0,1,0,0
7.0351758794,10.0,47.61678,37.0,22.1,,704,13.606494009,2580,12.0,39.015376493,81.10711,70662,59.27737028,19727,48.299285244,44.731303494,2023,,,,0.9795081967213116,0.9754098360655736,0.9836065573770492,0.9795081967213116,0.9795081967213116,0.1065,0.1663,0.0699,0.86,0.88,1233.0,1.0,0,0,0,1,0,0,1,1,0
6.1497326203,13.0,31.40628,45.0,19.3,,1527,15.597548519,5980,14.8,60.594965393,75.7504,58060,53.226044589,42244,50.246188808,59.03426386,2023,,,,0.9234972677595628,0.9562841530054644,0.9672131147540984,0.9289617486338798,0.930783242258652,0.1317,0.1945,0.0881,0.62,0.85,1320.0,1.0,0,0,0,0,0,0,1,0,0
8.3862770013,84.0,69.99417,52.0,16.5,5.228398459,3312,11.286804798,15990,13.5,40.663404541,112.21747,60750,51.60510692,119411,49.969433302,15.64087676,2023,,,,0.9721695129664768,0.9759645793801393,0.9822896900695762,0.9753320683111956,0.9728020240354206,0.1078,0.1675,0.0704,0.66,0.89,891.0,1.0,0,0,0,0,0,0,1,0,0
9.0909090909,8.0,27.014250000000004,50.0,21.7,,952,14.432989691,4270,15.0,47.244025185,29.71572,52540,65.738036396,30287,45.260342721,68.903172455,2023,,,,0.9563758389261744,0.9563758389261744,0.959731543624161,0.9563758389261744,0.9496644295302014,0.1225,0.1864,0.0827,0.86,0.9,3365.0,1.0,0,0,0,1,0,0,1,1,0
11.382113821,1.0,46.72897,35.0,27.4,,65,17.015706806,350,16.2,,57.47126,42690,57.575757576,1740,44.08045977,100.0,2023,,,,0.8636363636363636,0.9090909090909092,1.0,0.8636363636363636,0.8636363636363636,0.1143,0.1758,0.0766,0.88,0.93,1740.0,1.0,1,0,0,1,0,0,1,0,1
9.0676080859,101.0,60.22624,42.0,22.0,5.5278348498,9453,17.959873846,23160,14.3,37.18280955,97.46044,58389,52.976190476,161091,48.850649633,9.4552614308,2023,,,,0.9347649918962724,0.9258508914100486,0.9647487844408428,0.9396272285251216,0.9226094003241492,0.1113,0.171,0.0731,0.79,0.88,1026.0,1.0,0,0,0,0,0,0,1,0,0
7.0967741935,1.0,52.00208,29.0,32.6,,91,20.823798627,240,12.3,,0.0,47573,70.526315789,1438,47.009735744,100.0,2023,,,,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.107,0.1724,0.0705,0.44,0.92,1438.0,0.0,1,0,1,0,0,0,1,0,1
8.4655168433,433.0,51.46882,36.0,27.4,4.4294285811,21843,9.6203055701,126370,15.1,50.939678054,94.82146,50983,74.378464442,867947,50.206752256,2.1743664811,2023,,,,0.9615233992559232,0.970628549050323,0.9806148423732132,0.9711180732328176,0.9621108282749168,0.0965,0.1577,0.0608,0.95,0.96,1055.0,1.0,0,0,0,1,0,0,1,0,0
