county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,live_births,kin_DTP_cov,kin_HepA_cov,kin_HepB_cov,kin_polio_cov,kin_varic_cov,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),CVAC level of concern for vaccination rollout,other_pc_provider_ratio_numerator,seg_missing_bool
King,,0.0,0.0,,15.7,,18,20.454545455,40,15.5,,0.0,57925,0.0,277,49.458483755,100.0,2020,,,,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.1143,0.1758,0.0766,0.2,0.68,277.0,1
Kinney,8.0,,,25.0,26.6,,100,13.192612137,320,8.7,,26.54632,43192,59.487179487,3767,44.942925405,20.455808783,2020,,,25.0,0.972972972972973,1.0,1.0,0.972972972972973,1.0,0.107,0.1724,0.0705,0.86,0.98,3767.0,1
Kleberg,7.773512476,14.0,45.03345,37.0,33.3,,714,9.1129546905,4100,13.0,35.094348084,44.97414,42605,67.918708038,31129,48.796941758,18.870278532,2020,,,376.0,0.988826815642458,0.9804469273743016,0.9916201117318436,0.988826815642458,0.988826815642458,0.0992,0.1603,0.0642,0.98,0.99,2224.0,0
Knox,8.2595870206,1.0,26.95418,13.0,31.5,,186,18.1640625,500,13.2,46.549184776,164.24856,39726,64.52991453,3653,50.479058308,100.0,2020,,,43.0,1.0,1.0,1.0,1.0,1.0,0.1278,0.1901,0.086,0.8,0.93,609.0,0
La Salle,9.1988130564,,,24.0,35.5,,116,7.4694140373,370,5.0,,119.50604,40072,87.391304348,7531,40.817952463,46.354923032,2020,,,79.0,0.9896907216494846,,,,0.979381443298969,0.107,0.1724,0.0705,0.82,0.97,837.0,1
Lamar,8.8082901554,25.0,50.41644,48.0,22.2,6.5416484954,1451,11.858450474,9970,20.2,40.132093431,98.53604,45767,62.569508804,49728,51.797779923,47.082923302,2020,,,632.0,0.9690265486725664,0.976401179941003,0.9823008849557522,0.976401179941003,0.971976401179941,0.1283,0.1937,0.0866,0.84,0.94,1015.0,0
Lamb,8.6722947045,3.0,22.71007,36.0,27.8,,557,14.677206851,1730,13.0,28.880957249,68.39945,42700,70.252951096,13158,50.425596595,57.687629677,2020,,,181.0,0.9942196531791908,0.9884393063583816,0.9942196531791908,0.9942196531791908,0.9884393063583816,0.1143,0.1758,0.0766,0.9,0.99,1462.0,0
Randall,7.7036013473,80.0,59.505210000000005,49.0,11.4,5.7708871662,2627,7.7235174786,17490,13.4,56.75468584,49.90057,69600,39.792006346,136271,50.815654101,14.375647132,2020,,,1602.0,0.957908163265306,0.9591836734693876,0.9642857142857144,0.9591836734693876,0.9604591836734694,0.1021,0.1521,0.0667,0.22,0.6,2004.0,0
Lampasas,5.8561425843,9.0,42.80211,26.0,20.2,,643,12.793473936,2960,14.5,50.561469143,32.97376,55151,50.709606987,21229,50.723067502,68.267520455,2020,,,203.0,0.9450980392156862,0.9490196078431372,0.9647058823529412,0.9490196078431372,0.9490196078431372,0.1264,0.1929,0.0847,0.54,0.88,3033.0,0
Lee,7.5799721836,4.0,23.27882,48.0,17.8,,501,13.208542051,2490,14.8,43.737213003,34.99767,55834,63.832982878,17144,49.784181055,69.720683843,2020,,,209.0,0.9714285714285714,0.9755102040816328,0.9877551020408164,0.9755102040816328,0.9714285714285714,0.124,0.188,0.0827,0.68,0.88,2857.0,0
Leon,7.1967100754,,,43.0,24.4,,688,16.966707768,3050,18.0,23.450372137,28.95194,47065,51.46875,17270,50.277938622,100.0,2020,,,199.0,0.9809523809523808,0.9809523809523808,0.9857142857142858,0.9857142857142858,0.9809523809523808,0.1225,0.1864,0.0827,0.62,0.92,3454.0,0
Liberty,8.748403576,20.0,23.90686,35.0,23.2,7.02172761,2977,13.224645729,14210,17.8,30.846808228,39.38695,52577,66.212406015,86323,50.425726631,63.227264915,2020,,,1259.0,0.9725738396624471,0.9704641350210972,0.9824191279887482,0.9760900140646976,0.969760900140647,0.1377,0.2028,0.0929,0.94,0.97,2539.0,0
Limestone,10.062590274,8.0,34.00349,43.0,33.0,,616,11.298606016,4500,19.2,26.097624129,63.77822,43226,74.536340852,23519,48.369403461,53.617858365,2020,,,273.0,0.975438596491228,0.9719298245614036,0.9824561403508772,0.9789473684210528,0.9789473684210528,0.1248,0.188,0.085,0.95,0.98,1568.0,0
Lipscomb,6.309148265,,,29.0,17.5,,256,27.497314715,420,12.0,,29.80626,57332,62.532299742,3355,48.315946349,100.0,2020,,,27.0,0.921875,0.90625,0.9375,0.890625,0.796875,0.1241,0.1883,0.0824,0.46,0.87,3355.0,1
Live Oak,7.5081610446,1.0,8.214229999999999,34.0,25.6,,384,15.0,1500,12.5,,32.87851,48814,61.417322835,12166,45.199736972,100.0,2020,,,122.0,1.0,0.9924812030075189,1.0,1.0,1.0,0.1146,0.1867,0.0742,0.69,0.95,3042.0,1
Llano,8.1244598099,17.0,80.15087,39.0,23.4,,457,13.42143906,3150,15.6,,27.71875,54019,58.899176955,21646,51.575348794,45.179006269,2020,,,174.0,0.9473684210526316,0.9473684210526316,0.962406015037594,0.9548872180451128,0.9548872180451128,0.1264,0.1929,0.0847,0.47,0.76,3608.0,1
