county_name,% Low Birthweight,# Primary Care Physicians,Primary Care Physicians Rate,% Vaccinated Flu,% Children in Poverty,Infant Mortality Rate,# Uninsured Children,% Uninsured Children,# Food Insecure,% Food Insecure,Segregation index_b,Other Primary Care Provider Rate,Other Primary Care Provider Ratio (str),Median Household Income,% Enrolled in Free or Reduced Lunch,Population,% Female,% Rural,year,% Broadband Access,% Less Than 18 Years of Age,mmr_dose_variance,mmr_doses_0_24_months,mmr_doses_2_8_years,mmr_doses_9_17_years,live_births,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,other_pc_provider_ratio_numerator,other_pc_provider_ratio_denominator
Calhoun,7.2342519685,11.0,50.58867,29.0,24.0,,651,11.57744976,2720,12.5,23.870296008,60.29405,1659:1,52085,72.562068083,21561,48.620193869,44.731303494,2020,,,0.0,232.0,228.0,12.5,261,0.1065,0.1663,0.0699,0.86,Very High Vulnerability,0.88,Very High Concern,1659,1
Callahan,11.263467189,1.0,7.17051,40.0,20.2,,360,10.895883777,2240,16.4,,57.167359999999995,1749:1,50330,52.479174931,13994,50.478776619,72.179562906,2020,,,0.0,117.0,108.0,2.5,123,0.1278,0.1901,0.086,0.3,Low Vulnerability,0.8,High Concern,1749,1
Cameron,8.1357393607,207.0,48.852439999999994,42.0,40.2,5.0892108729,16938,12.753077589,47770,11.4,67.081450135,66.52387,1503:1,38106,87.033089872,423908,51.321277258,8.4208064596,2020,,,0.0,4505.0,5083.0,388.0,6019,0.105,0.1701,0.0683,0.98,Very High Vulnerability,0.98,Very High Concern,1503,1
Camp,7.4581430746,11.0,85.56981999999999,35.0,30.5,,403,11.484753491,2320,18.3,21.808815883,15.345659999999999,6517:1,43714,74.57337884,13033,51.43865572,61.478912991,2020,,,0.0,108.5,151.5,5.0,162,0.1285,0.1874,0.0874,0.9,Very High Vulnerability,0.98,Very High Concern,6517,1
Carson,5.6265984655,,,44.0,12.2,,203,12.979539642,770,12.7,,116.56952999999999,858:1,64799,32.747603834,6005,49.87510408,95.195729537,2020,,,0.0,33.5,60.5,0.0,38,0.1241,0.1883,0.0824,0.03,Very Low Vulnerability,0.6,High Concern,858,1
Cass,7.810552555,8.0,26.656,35.0,32.0,,624,8.8888888889,6340,21.0,30.701785208,49.80245,2008:1,44154,62.828467153,30119,51.588698164,74.011948529,2020,,,0.0,161.5,208.0,10.0,317,0.1356,0.2056,0.0926,0.78,High Vulnerability,0.98,Very High Concern,2008,1
Castro,6.9135802469,1.0,12.75022,35.0,24.2,,412,17.614365113,750,9.5,,39.13894,2555:1,45689,74.154025671,7665,48.532289628,45.757876457,2020,,,0.0,87.0,99.5,2.5,112,0.1241,0.1883,0.0824,0.78,High Vulnerability,0.99,Very High Concern,2555,1
Chambers,8.2658475286,4.0,9.65228,28.0,10.9,,1286,10.478285668,5950,15.1,24.700513178,54.176280000000006,1846:1,89513,36.772457104,42454,49.3451736,45.720310007,2020,,,0.0,631.0,557.0,23.5,552,0.1377,0.2028,0.0929,0.41,Moderate Vulnerability,0.79,High Concern,1846,1
Cherokee,7.2273073989,21.0,40.19908,43.0,24.6,8.0521472393,1528,11.150029189,9110,17.7,34.805617504,43.73289,2287:1,43483,63.046594982,52592,48.999847886,63.048480677,2020,,,0.0,452.0,527.0,12.5,739,0.1282,0.1918,0.0871,0.92,Very High Vulnerability,0.94,Very High Concern,2287,1
Childress,9.8619329389,10.0,141.50276,23.0,25.4,,174,11.584553928,1280,18.1,16.197996918,109.72431999999999,911:1,42291,54.398563734,7291,39.185296941,33.148700469,2020,,,0.0,45.5,45.5,0.0,58,0.1241,0.1883,0.0824,0.75,High Vulnerability,0.92,Very High Concern,911,1
